iter	Logloss
0	0.6149474279
1	0.5614400518
2	0.5225493449
3	0.4960372152
4	0.4726669158
5	0.4559329151
6	0.440982135
7	0.4321509352
8	0.4130075076
9	0.3991771904
10	0.3917614505
11	0.3853946737
12	0.3812612208
13	0.3744745803
14	0.3716811964
15	0.3680301458
16	0.3638912341
17	0.3623852833
18	0.358914288
19	0.3573632348
20	0.3565238578
21	0.3546591518
22	0.3535314448
23	0.3527908916
24	0.3518674505
25	0.3511324521
26	0.3488259357
27	0.3484809932
28	0.3473782626
29	0.3459600251
30	0.345308074
31	0.3450343371
32	0.3444497569
33	0.3435659881
34	0.3431436907
35	0.3426119791
36	0.342265762
37	0.3419288053
38	0.3417383167
39	0.3414667729
40	0.3405946849
41	0.3404204247
42	0.339860928
43	0.33966429
44	0.3392283668
45	0.339102704
46	0.3389808057
47	0.3384771255
48	0.3380492231
49	0.3378988078
