iter	Passed	Remaining
0	18	905
1	38	918
2	58	920
3	78	907
4	98	890
5	117	863
6	135	832
7	149	783
8	163	745
9	177	709
10	191	679
11	205	650
12	219	625
13	235	604
14	249	581
15	262	556
16	276	536
17	291	518
18	306	500
19	323	485
20	340	469
21	353	449
22	366	430
23	379	411
24	392	392
25	404	373
26	418	356
27	431	338
28	445	322
29	458	305
30	470	288
31	483	272
32	498	256
33	513	241
34	528	226
35	544	211
36	557	195
37	570	180
38	583	164
39	596	149
40	610	134
41	624	118
42	638	104
43	651	88
44	667	74
45	684	59
46	700	44
47	717	29
48	733	14
49	751	0
